Model;Brand;Price;Foreign Currency;Date of Currency;Gear;Fuel;Engine Displacement;Transmission;Horsepower;Mortgage;Confiscation;Inspection;Year;Km;Area of Use;Colour;Top Speed;Luggage Volume;0-100;Max Torque;Cylinder;Tank;Consumption;Valve;Kaput;Tavan;Ön Tampon;Arka Tampon;Sağ Ön Çamurluk;Sağ Ön Kapı;Sağ Arka Kapı;Sağ Arka Çamurluk;Sol Ön Çamurluk;Sol Ön Kapı;Sol Arka Kapı;Sol Arka Çamurluk
a3;audi;1278000;30;11.01.2024;tiptronic;benzin;1,5;önden çekiş;150;hayır;hayır;23.06.2025;2020;93228;sedan;mavi;224;425;;250;4;50;6.2 (şi̇) / 4.3 (şd);16;saglam;saglam;çizik;çizik;saglam;saglam;saglam;saglam;saglam;saglam;saglam;lokal boyalı, çizik
a3;audi;1274000;30;11.01.2024;tiptronic;benzin;1,5;önden çekiş;150;hayır;hayır;16.06.2025;2020;19707;hatchback;metalik glacier beyazı;220;380;;250;4;50;6 (şi̇) / 4.1 (şd);16;saglam;saglam;boyalı, çizik;çizik;çizik;saglam;saglam;ezik;saglam;saglam;saglam;saglam
caravelle;volkswagen;1687000;30;11.01.2024;otomatik;dizel;2;4x4;199;hayır;hayır;28.06.2024;2019;83365;cityvan;gri;199;;;450;4;70;10.7 (şi̇) / 7.3 (şd);16;saglam;saglam;çizik;çizik;saglam;ezik;saglam;çizik;ezik;ezik;saglam;ezik
passat;volkswagen;1460000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;29.06.2025;2019;84000;sedan;gri;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı;saglam
passat;volkswagen;1457500;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;1.01.2024;2019;81245;sedan;gri;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı
passat;volkswagen;1399000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;2.12.2024;2019;82253;sedan;gri;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
passat;volkswagen;1391000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;19.11.2024;2019;84240;sedan;derin siyah;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;boyalı, hasarlı;hasarlı;değişen;boyalı;saglam;saglam;saglam;çizik, ezik;saglam;saglam
tiguan;volkswagen;1380000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;11.03.2025;2019;101731;arazi aracı;siyah;200;615;;250;4;58;7 (şi̇) / 5.1 (şd);16;saglam;saglam;saglam;saglam;boyalı;saglam;saglam;saglam;boyalı;boyalı;saglam;saglam
passat;volkswagen;1353000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;13.05.2024;2019;133882;sedan;gri;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;çizik;hasarlı;çizik, ezik;çizik, ezik;çizik, ezik;çizik, ezik;saglam;saglam;ezik;çizik, ezik
t-roc;volkswagen;1310000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;20.12.2020;2019;29930;arazi aracı;kırmızı;205;445;;250;4;50;6.6 (şi̇) / 4.6 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;çizik;çizik;saglam;saglam;saglam;saglam
tiguan;volkswagen;1300000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;2.01.2026;2019;69740;arazi aracı;beyaz;200;615;;250;4;58;7 (şi̇) / 5.1 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
passat;volkswagen;1299900;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;3.09.2024;2019;113721;sedan;siyah;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
t-roc;volkswagen;1250000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;27.05.2024;2019;30460;arazi aracı;ravenna mavisi/siyah;205;445;;250;4;50;6.6 (şi̇) / 4.6 (şd);16;değişen;saglam;saglam;saglam;değişen;değişen;saglam;saglam;saglam;saglam;saglam;saglam
t-roc;volkswagen;1250000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;10.01.2024;2019;100354;arazi aracı;parlak kırmızı;205;445;;250;4;50;6.6 (şi̇) / 4.6 (şd);16;saglam;saglam;boyalı;boyalı;saglam;saglam;saglam;saglam;değişen;boyalı;boyalı;boyalı
t-roc;volkswagen;1250000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;13.06.2025;2019;46050;arazi aracı;beyaz;205;445;;250;4;50;6.6 (şi̇) / 4.6 (şd);16;saglam;saglam;boyalı, ezik;saglam;saglam;ezik;saglam;saglam;boyalı;saglam;saglam;saglam
passat;volkswagen;1249500;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;1.01.2025;2019;42760;sedan;beyaz;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;lokal boyalı;saglam;saglam;saglam;saglam
passat;volkswagen;1247500;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;2.01.2025;2019;65377;sedan;beyaz;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;ezik;saglam;saglam;saglam;saglam;saglam;lokal boyalı
passat;volkswagen;1240000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;20.06.2024;2019;63913;sedan;uranüs gri;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;çizik, ezik;saglam;saglam;saglam;saglam;saglam;saglam;saglam;ezik;ezik;ezik;lokal boyalı
passat;volkswagen;1210000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;31.05.2024;2019;63650;sedan;uranüs gri;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;değişen;boyalı;saglam;saglam;saglam;saglam;saglam;saglam
passat;volkswagen;1182000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;24.06.2024;2019;119457;sedan;siyah;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;boyalı;saglam;boyalı, çizik;lokal boyalı;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
passat;volkswagen;1170000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;28.06.2024;2019;127921;sedan;beyaz;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;saglam;saglam;saglam
polo;volkswagen;1170000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;95;hayır;hayır;28.08.2025;2019;49527;hatchback;beyaz;185;351;;250;4;40;4.4 (şi̇) / 3.8 (şd);16;boyalı;saglam;saglam;saglam;değişen;saglam;saglam;saglam;saglam;saglam;saglam;saglam
passat;volkswagen;1157500;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;13.08.2024;2019;69224;sedan;beyaz;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;değişen;saglam;saglam;saglam;boyalı;saglam;saglam;saglam;lokal boyalı;saglam;saglam;saglam
t-roc;volkswagen;1120000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;10.01.2024;2019;67030;arazi aracı;turuncu;205;445;;250;4;50;6.6 (şi̇) / 4.6 (şd);16;saglam;saglam;boyalı, çizik;çizik;ezik;çizik;çizik;saglam;değişen;saglam;saglam;saglam
golf;volkswagen;1099500;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;10.01.2025;2019;47258;hatchback;gri;216;380;;250;4;50;6.5 (şi̇) / 4.3 (şd);16;saglam;saglam;saglam;saglam;boyalı;saglam;saglam;boyalı;saglam;saglam;saglam;saglam
golf;volkswagen;1034900;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;13.04.2024;2019;84965;hatchback;beyaz;198;380;;250;4;50;4.4 (şi̇) / 3.9 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı
golf;volkswagen;1025900;30;11.01.2024;otomatik;benzin;1;önden çekiş;115;hayır;hayır;10.06.2024;2019;78162;hatchback;gri;198;380;;200;3;50;5.4 (şi̇) / 4.5 (şd);12;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;saglam;saglam
golf;volkswagen;1012000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;5.12.2024;2019;99670;hatchback;saf beyaz;216;380;;250;4;50;6.5 (şi̇) / 4.3 (şd);16;saglam;saglam;boyalı, hasarlı;çizik;boyalı;değişen;değişen;lokal boyalı;saglam;saglam;boyalı;boyalı
golf;volkswagen;998750;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;11.02.2022;2019;92684;hatchback;gri;198;380;;250;4;50;4.4 (şi̇) / 3.9 (şd);16;saglam;saglam;saglam;saglam;değişen;saglam;saglam;saglam;saglam;saglam;saglam;saglam
golf;volkswagen;994750;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;11.02.2022;2019;87832;hatchback;beyaz;198;380;;250;4;50;4.4 (şi̇) / 3.9 (şd);16;lokal boyalı;saglam;saglam;saglam;saglam;saglam;saglam;saglam;değişen;saglam;saglam;saglam
golf;volkswagen;979000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;11.03.2024;2019;107449;hatchback;beyaz;198;380;;250;4;50;4.4 (şi̇) / 3.9 (şd);16;değişen;saglam;boyalı, çizik;boyalı, çizik;saglam;saglam;boyalı, ezik;çizik;boyalı;saglam;ezik;çizik
polo;volkswagen;973500;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;95;hayır;hayır;15.09.2025;2019;150500;hatchback;beyaz;185;351;;250;4;40;4.4 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı;saglam;saglam;saglam;saglam
polo;volkswagen;919900;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;95;hayır;hayır;21.10.2024;2019;88292;hatchback;beyaz;185;351;;250;4;40;4.4 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
polo;volkswagen;909500;30;11.01.2024;otomatik;benzin;1;önden çekiş;95;hayır;hayır;22.04.2024;2019;83216;hatchback;mavi;187;351;;175;3;40;5.2 (şi̇) / 4.4 (şd);12;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;saglam;saglam;saglam
polo;volkswagen;899900;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;95;hayır;hayır;14.12.2024;2019;69212;hatchback;gri;185;351;;250;4;40;4.4 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;saglam;saglam;boyalı
caddy;volkswagen;898000;30;11.01.2024;otomatik;benzin;1,4;önden çekiş;125;hayır;hayır;3.04.2025;2019;73938;cityvan;sarı;183;;;220;4;55;6.9 (şi̇) / 5.5 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
polo;volkswagen;873000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;95;hayır;hayır;7.11.2022;2019;150582;hatchback;gri;185;351;;250;4;40;4.4 (şi̇) / 3.8 (şd);16;saglam;saglam;boyalı, çizik;boyalı, çizik;çizik;çizik, ezik;saglam;saglam;saglam;saglam;saglam;çizik
polo;volkswagen;865000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;95;hayır;hayır;11.01.2025;2019;59060;hatchback;beyaz;185;351;;250;4;40;4.4 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;çizik;değişen;değişen;boyalı;boyalı;lokal boyalı;saglam;saglam;çizik
corolla;toyota;1000000;30;11.01.2024;multitronic;benzin;1,6;önden çekiş;132;hayır;hayır;27.07.2024;2019;40531;sedan;kar beyazı;190;471;;159;4;50;7.3 (şi̇) / 4.5 (şd);16;çizik;ezik;çizik;saglam;ezik;saglam;saglam;ezik;saglam;ezik;ezik;saglam
corolla;toyota;964000;30;11.01.2024;multitronic;benzin;1,6;önden çekiş;132;hayır;hayır;29.12.2022;2019;49575;sedan;beyaz;190;471;;159;4;50;7.3 (şi̇) / 4.5 (şd);16;saglam;saglam;çizik;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;ezik
karoq;skoda;1575000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;29.11.2024;2019;35400;arazi aracı;çelik gri;186;521;;250;4;50;5.2 (şi̇) / 4.5 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;saglam;saglam;saglam;saglam;saglam
kodiaq;skoda;1561000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;4.01.2025;2019;77050;arazi aracı;business gri;198;720;;250;4;58;7.2 (şi̇) / 5.4 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
superb;skoda;1199000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;13.04.2024;2019;105100;hatchback;gri;206;595;;250;4;66;4.7 (şi̇) / 4.1 (şd);16;saglam;saglam;saglam;boyalı;saglam;saglam;saglam;saglam;saglam;saglam;lokal boyalı;lokal boyalı
octavia;skoda;1095000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;22.03.2024;2019;54950;hatchback;beyaz;204;568;;250;4;50;4.4 (şi̇) / 3.6 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
octavia;skoda;1085500;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;15.01.2024;2019;83005;hatchback;beyaz;204;568;;250;4;50;4.4 (şi̇) / 3.6 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
octavia;skoda;1044000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;27.08.2024;2019;76556;hatchback;beyaz;204;568;;250;4;50;4.4 (şi̇) / 3.6 (şd);16;saglam;saglam;boyalı;boyalı;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;saglam
octavia;skoda;1013000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;14.10.2026;2019;124585;hatchback;beyaz;204;568;;250;4;50;4.4 (şi̇) / 3.6 (şd);16;çizik;saglam;çizik;boyalı;saglam;saglam;çizik;boyalı;saglam;saglam;saglam;saglam
octavia;skoda;795000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;15.06.2024;2019;318370;hatchback;beyaz;204;568;;250;4;50;4.4 (şi̇) / 3.6 (şd);16;boyalı;saglam;saglam;saglam;boyalı;boyalı;saglam;lokal boyalı;boyalı;boyalı;saglam;saglam
octavia;skoda;790000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;14.06.2024;2019;342189;hatchback;beyaz;204;568;;250;4;50;4.4 (şi̇) / 3.6 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;değişen;değişen;saglam;lokal boyalı
octavia;skoda;790000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;6.06.2023;2019;342189;hatchback;beyaz;204;568;;250;4;50;4.4 (şi̇) / 3.6 (şd);16;saglam;saglam;saglam;saglam;boyalı;ezik;ezik;ezik;saglam;ezik;saglam;boyalı
octavia;skoda;780000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;13.06.2024;2019;352774;hatchback;beyaz;204;568;;250;4;50;4.4 (şi̇) / 3.6 (şd);16;çizik, ezik;ezik;saglam;saglam;saglam;saglam;boyalı;boyalı, ezik;çizik;saglam;çizik, ezik;boyalı
octavia;skoda;770000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;14.06.2024;2019;337000;hatchback;beyaz;204;568;;250;4;50;4.4 (şi̇) / 3.6 (şd);16;boyalı;saglam;saglam;saglam;saglam;boyalı;boyalı;lokal boyalı;değişen;değişen;boyalı;lokal boyalı
ateca;seat;1265000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;4.10.2022;2019;32620;arazi aracı;gümüş;184;510;;250;4;50;5.3 (şi̇) / 4.7 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
ateca;seat;1199500;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;14.09.2024;2019;60873;arazi aracı;kırmızı;184;510;;250;4;50;5.3 (şi̇) / 4.7 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı;boyalı;boyalı
leon;seat;1191000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;28.06.2024;2019;96681;hatchback;koyu gri;197;380;;250;4;50;4.3 (şi̇) / 4 (şd);16;saglam;saglam;boyalı, hasarlı;hasarlı;çizik, ezik;hasarlı;saglam;ezik;saglam;saglam;hasarlı;çizik, ezik
leon;seat;1167000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;13.06.2025;2019;55816;hatchback;gri;213;380;;250;4;50;6.3 (şi̇) / 4.3 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
leon;seat;1150000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;10.01.2025;2019;29000;hatchback;beyaz;213;380;;250;4;50;6.3 (şi̇) / 4.3 (şd);16;değişen;saglam;saglam;saglam;saglam;saglam;saglam;saglam;değişen;saglam;saglam;saglam
leon;seat;940000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;115;hayır;hayır;23.05.2022;2019;58431;hatchback;beyaz;197;380;;250;4;50;4.3 (şi̇) / 4 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;değişen;saglam;saglam;saglam
megane;renault;1040000;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;110;hayır;hayır;3.10.2025;2019;90620;sedan;gri;190;503;;250;4;49;4.1 (şi̇) / 3.6 (şd);8;saglam;saglam;çizik;çizik;çizik;ezik;saglam;saglam;saglam;saglam;saglam;saglam
megane;renault;989750;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;21.12.2024;2019;46141;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;boyalı;saglam;lokal boyalı;saglam;saglam;saglam;boyalı
megane;renault;969750;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;25.11.2024;2019;61182;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
megane;renault;969750;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;2.12.2024;2019;56111;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
megane;renault;969750;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;19.12.2024;2019;71057;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
megane;renault;965000;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;12.12.2024;2019;88447;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı;boyalı;saglam
megane;renault;965000;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;110;hayır;hayır;16.06.2024;2019;95000;sedan;beyaz;190;503;;250;4;49;4.1 (şi̇) / 3.6 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
megane;renault;949950;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;25.11.2024;2019;56194;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;saglam;lokal boyalı;saglam;saglam;saglam;saglam
megane;renault;949950;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;30.11.2024;2019;54766;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;saglam;saglam;saglam;saglam;saglam
megane;renault;949750;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;19.12.2024;2019;58326;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı;boyalı;saglam;saglam;saglam;saglam
megane;renault;949750;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;19.12.2024;2019;89649;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı;saglam;saglam;saglam;saglam
megane;renault;939750;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;24.01.2025;2019;49898;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı;saglam;saglam;saglam;boyalı
megane;renault;938750;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;110;hayır;hayır;1.04.2024;2019;73955;sedan;gri;190;503;;250;4;49;4.1 (şi̇) / 3.6 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı
megane;renault;919950;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;9.12.2024;2019;74670;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı
megane;renault;906500;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;110;hayır;hayır;12.12.2024;2019;59966;sedan;beyaz;190;503;;250;4;49;4.1 (şi̇) / 3.6 (şd);8;boyalı;saglam;boyalı;saglam;saglam;saglam;lokal boyalı;boyalı;saglam;saglam;saglam;saglam
megane;renault;899950;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;18.11.2024;2019;80084;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;saglam;saglam;saglam;saglam
megane;renault;899950;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;22.11.2024;2019;82981;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;boyalı;saglam;boyalı;saglam;saglam;saglam;saglam
megane;renault;898750;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;110;hayır;hayır;26.07.2024;2019;96666;sedan;beyaz;190;503;;250;4;49;4.1 (şi̇) / 3.6 (şd);8;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı;boyalı;saglam;saglam;saglam;saglam
megane;renault;849950;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;28.12.2024;2019;103161;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı;saglam;saglam;lokal boyalı;boyalı
megane;renault;849950;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;115;hayır;hayır;9.12.2024;2019;118372;sedan;beyaz;197;503;;260;4;49;4.6 (şi̇) / 3.7 (şd);8;saglam;saglam;saglam;saglam;boyalı;boyalı;boyalı;boyalı;saglam;saglam;saglam;boyalı
clio;renault;825000;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;90;hayır;hayır;25.08.2025;2019;99572;hatchback;beyaz;178;300;;220;4;45;3.9 (şi̇) / 3.3 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı
clio;renault;785000;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;90;hayır;hayır;27.09.2024;2019;48291;hatchback;beyaz;178;300;;220;4;45;3.9 (şi̇) / 3.3 (şd);8;saglam;saglam;boyalı;boyalı;saglam;lokal boyalı;lokal boyalı;lokal boyalı, çizik, ezik;çizik;ezik;ezik;lokal boyalı
clio;renault;747000;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;90;hayır;hayır;15.06.2024;2019;102526;hatchback;beyaz;178;300;;220;4;45;3.9 (şi̇) / 3.3 (şd);8;saglam;saglam;saglam;saglam;saglam;saglam;değişen, ezik;boyalı;saglam;çizik;çizik;çizik
clio;renault;695000;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;90;hayır;hayır;20.06.2024;2019;155992;hatchback;beyaz;178;300;;220;4;45;3.9 (şi̇) / 3.3 (şd);8;saglam;ezik;saglam;saglam;saglam;saglam;saglam;lokal boyalı;saglam;saglam;saglam;saglam
clio;renault;683000;30;11.01.2024;otomatik;dizel;1,5;önden çekiş;90;hayır;hayır;16.05.2024;2019;164655;hatchback;beyaz;178;300;;220;4;45;3.9 (şi̇) / 3.3 (şd);8;boyalı;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;saglam;saglam
macan;porsche;3600000;30;11.01.2024;otomatik;benzin;2;4x4;252;hayır;hayır;10.05.2025;2019;83911;arazi aracı;gri;229;500;;370;4;65;8.4 (şi̇) / 6.4 (şd);16;saglam;saglam;saglam;boyalı;saglam;saglam;ezik;saglam;saglam;saglam;saglam;saglam
3008;peugeot;1279000;30;11.01.2024;tiptronic;benzin;1,6;önden çekiş;180;hayır;hayır;11.11.2024;2019;65145;arazi aracı;kırmızı;222;520;;250;4;53;7.2 (şi̇) / 4.9 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
208;peugeot;847000;30;11.01.2024;manuel;benzin;1,2;önden çekiş;82;hayır;hayır;19.04.2024;2019;22152;hatchback;kırmızı;175;285;;118;3;50;5.8 (şi̇) / 4.2 (şd);12;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
mokka x;opel;1005000;30;11.01.2024;tiptronic;dizel;1,6;önden çekiş;136;hayır;hayır;10.06.2024;2019;71595;arazi aracı;mavi;188;356;;320;4;52;6.9 (şi̇) / 4.9 (şd);16;saglam;saglam;çizik;çizik;ezik;saglam;saglam;saglam;saglam;saglam;saglam;saglam
